Nombre,usuario,followers,contenido,menciones,hashtags,likes,veces compartido
Guillermo Lasso,LassoGuillermo,882232,b'@fabianpozo Con el #PlanVacunacion9100 lo logramos. Juntos reactivaremos todos los sectores del pa\xc3\xads. Saludos. \xf0\x9f\x87\xaa\xf0\x9f\x87\xa8\xf0\x9f\x92\xaa',fabianpozo,PlanVacunacion9100,29,6
Guillermo Lasso,LassoGuillermo,882232,"b'@BrendaCV70 Trabajamos por la salud de los ecuatorianos. Con el #PlanVacunacion9100 reactivamos al pa\xc3\xads, sigamos di\xe2\x80\xa6 https://t.co/vSbjiAJ2eZ'",BrendaCV70,PlanVacunacion9100,10,2
Guillermo Lasso,LassoGuillermo,882232,b'@edgartutiven Juntos lo logramos.\xf0\x9f\x92\xaa\xf0\x9f\x92\xaa',edgartutiven,,1,0
Guillermo Lasso,LassoGuillermo,882232,"b'@juanurgilesb Gracias por compartir tu mensaje, me alegra mucho escuchar est\xc3\xa1 noticia. Sigamos compartiendo la impo\xe2\x80\xa6 https://t.co/HZXierRNdq'",juanurgilesb,,9,1
Guillermo Lasso,LassoGuillermo,882232,b'Conoce el cronograma del #PlanVacunaci\xc3\xb3n9100 del 7 al 13 de junio. \xf0\x9f\x87\xaa\xf0\x9f\x87\xa8\n\nAcude a tu centro de vacunaci\xc3\xb3n de manera or\xe2\x80\xa6 https://t.co/QYJ7dNPjL7',,PlanVacunación9100,374,91
Guillermo Lasso,LassoGuillermo,882232,"b'@manuelyepez19 Gracias por compartir tu experiencia, me emociona mucho escucharte. Sigamos compartiendo la importan\xe2\x80\xa6 https://t.co/iGrxS02F1E'",manuelyepez19,,1,0
Guillermo Lasso,LassoGuillermo,882232,b'@AVictoria60 Juntos lo logramos. Compartamos la importancia del #PlanVacunacion9100 y logremos la reactivaci\xc3\xb3n nacional. Saludos. \xf0\x9f\x92\xaa\xf0\x9f\x87\xaa\xf0\x9f\x87\xa8',AVictoria60,PlanVacunacion9100,0,0
Guillermo Lasso,LassoGuillermo,882232,b'@MiltonCanuza Seguiremos trabajando con eficiencia y responsabilidad por el futuro de las familias ecuatorianas. In\xe2\x80\xa6 https://t.co/jzY7RDC9jB',MiltonCanuza,,5,2
Guillermo Lasso,LassoGuillermo,882232,"b'@ElizDelucchi Gracias por escribirme, me siento honrado con tu comentario. Buscamos integrar a todos los ecuatorian\xe2\x80\xa6 https://t.co/cqSLI9GDal'",ElizDelucchi,,1,1
Guillermo Lasso,LassoGuillermo,882232,b'@AVictoria60 Honramos el esfuerzo y la confianza de los ecuatorianos con trabajo eficiente. Con el\xe2\x80\xa6 https://t.co/lxDwxB76E1',AVictoria60,,0,0
Guillermo Lasso,LassoGuillermo,882232,b'Juntos logramos el cumplimiento del #PlanVacunaci\xc3\xb3n9100. \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc\n\n#JuntosLoLogramos https://t.co/iBQWJWTRuD',,PlanVacunación9100,386,87
Guillermo Lasso,LassoGuillermo,882232,b'@FLBen_Ec Valoramos el apoyo y el trabajo de todos los ecuatorianos. Juntos lo logramos. \xf0\x9f\x87\xaa\xf0\x9f\x87\xa8\xf0\x9f\x92\xaa\xf0\x9f\x87\xaa\xf0\x9f\x87\xa8\xf0\x9f\x92\xaa',FLBen_Ec,,1,0
Guillermo Lasso,LassoGuillermo,882232,"b'@DarwinLen3 Muchas gracias por tu mensaje, lo aprecio bastante. Buscamos garantizar la salud de los ecuatorianos co\xe2\x80\xa6 https://t.co/DPuOGNDYfg'",DarwinLen3,,1,0
Guillermo Lasso,LassoGuillermo,882232,b'@geroncioamado Nuestro objetivo es claro: Trabajar por la salud de todos los ecuatorianos. Con el\xe2\x80\xa6 https://t.co/FC8wDO5geh',geroncioamado,,9,0
Guillermo Lasso,LassoGuillermo,882232,b'@Moon_stay7 Tenemos un compromiso con la salud de los ecuatorianos. Seguiremos trabajando para cumplir con el\xe2\x80\xa6 https://t.co/2V2VGwc2pE',Moon_stay7,,5,2
Guillermo Lasso,LassoGuillermo,882232,"b'@roxyalmina Gracias por compartir tu experiencia, me alegra mucho escucharte. Buscamos brindar todas las comodidade\xe2\x80\xa6 https://t.co/trjtZQ0Kss'",roxyalmina,,2,0
Guillermo Lasso,LassoGuillermo,882232,"b'Si no pudiste asistir a tu lugar de vacunaci\xc3\xb3n el d\xc3\xada que te asignaron, acude a los centros habilitados durante los\xe2\x80\xa6 https://t.co/vuLyPpgHCn'",,,1402,457
Guillermo Lasso,LassoGuillermo,882232,b'@promeroec Estamos trabajando para lograr nuestras metas. Juntos lo logramos. \xf0\x9f\x92\xaa\xf0\x9f\x87\xaa\xf0\x9f\x87\xa8',promeroec,,9,0
Guillermo Lasso,LassoGuillermo,882232,b'Ecuador ser\xc3\xa1 pionero en vacunar a la poblaci\xc3\xb3n Waorani que habita en la zona intangible Tagaeri-Taromenane. \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x87\xaa\xf0\x9f\x87\xa8\n\n\xc2\xa1\xe2\x80\xa6 https://t.co/E4aGgg9Hi9',,,1260,232
Guillermo Lasso,LassoGuillermo,882232,b'@BypeBsc Juntos lo logramos. \xf0\x9f\x87\xaa\xf0\x9f\x87\xa8\xf0\x9f\x92\xaa\xf0\x9f\x87\xaa\xf0\x9f\x87\xa8\xf0\x9f\x92\xaa',BypeBsc,,2,1
Guillermo Lasso,LassoGuillermo,882232,"b'@Gustavito8484 Muchas gracias por escribirme, lo aprecio bastante. Seguiremos trabajando por un Ecuador lleno de op\xe2\x80\xa6 https://t.co/HKwTdO6Ds8'",Gustavito8484,,2,0
Guillermo Lasso,LassoGuillermo,882232,b'\xc2\xa1COOPERACI\xc3\x93N! \xf0\x9f\xa4\x9d\xf0\x9f\x87\xaa\xf0\x9f\x87\xa8\n\n#PlanVacunaci\xc3\xb3n9100\n#JuntosLoLogramos https://t.co/nB42kwmCSp',,PlanVacunación9100,552,130
Guillermo Lasso,LassoGuillermo,882232,b'@galoidrobo86 Juntos lo logramos. \xf0\x9f\x87\xaa\xf0\x9f\x87\xa8\xf0\x9f\x92\xaa',galoidrobo86,,0,0
Guillermo Lasso,LassoGuillermo,882232,"b'Mientras el #PlanVacunaci\xc3\xb3n9100 avanza, hoy los ni\xc3\xb1os y j\xc3\xb3venes regresaron a las instituciones educativas de manera\xe2\x80\xa6 https://t.co/Ovp5v4OieJ'",,PlanVacunación9100,799,133
Guillermo Lasso,LassoGuillermo,882232,b'El #PlanVacunaci\xc3\xb3n9100 es corresponsabilidad de TODOS. La cooperaci\xc3\xb3n es el camino a la reactivaci\xc3\xb3n. \xf0\x9f\x92\xaa\xf0\x9f\x8f\xbc\xf0\x9f\x87\xaa\xf0\x9f\x87\xa8\n\nConsult\xe2\x80\xa6 https://t.co/7vX1EirgY2',,PlanVacunación9100,412,123
Guillermo Lasso,LassoGuillermo,882232,b'\xc2\xbfQui\xc3\xa9nes ingresan en la Fase 1 SALVAMOS VIDAS? Conoce m\xc3\xa1s del #PlanVacunaci\xc3\xb3n9100. \xf0\x9f\x91\x87\xf0\x9f\x8f\xbc https://t.co/BEIVvFDaRe',,PlanVacunación9100,402,120
Guillermo Lasso,LassoGuillermo,882232,b'\xc2\xa1El #PlanVacunaci\xc3\xb3n9100 llega a todo el territorio nacional!\n\n\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbc\xf0\x9f\x87\xaa\xf0\x9f\x87\xa8\n\n#JuntosLoLogramos https://t.co/YCUeOliupg',,PlanVacunación9100,444,97
Guillermo Lasso,LassoGuillermo,882232,b'Nuestra prioridad: la salud de TODOS los ecuatorianos. \xf0\x9f\x87\xaa\xf0\x9f\x87\xa8\n\n#PlanVacunaci\xc3\xb3n9100\n#JuntosLoLogramos https://t.co/QSwLuBXBjL',,PlanVacunación9100,371,73
Guillermo Lasso,LassoGuillermo,882232,b'El #PlanVacunaci\xc3\xb3n9100 es REACTIVACI\xc3\x93N. \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x87\xaa\xf0\x9f\x87\xa8\n\n\xc2\xa1#JuntosLoLogramos por el Ecuador! https://t.co/qClXHpGiVW',,PlanVacunación9100,412,68
Guillermo Lasso,LassoGuillermo,882232,"b'Mantuvimos una reuni\xc3\xb3n con Iv\xc3\xa1n Saquicela, presidente de la Corte Nacional de Justicia. Ratifiqu\xc3\xa9 mi apoyo y respet\xe2\x80\xa6 https://t.co/BL1HUaUGAf'",,,1544,265
Guillermo Lasso,LassoGuillermo,882232,b'\xc2\xa1Continuamos vacunando a los profesionales de la salud! \n\nConsulta tu lugar de vacunaci\xc3\xb3n y sigue los protocolos de\xe2\x80\xa6 https://t.co/jIJaS5pUuV',,,394,96
Guillermo Lasso,LassoGuillermo,882232,b'Recordemos que los fines de semana contamos con centros de vacunaci\xc3\xb3n habilitados. El #PlanVacunaci\xc3\xb3n9100 necesita\xe2\x80\xa6 https://t.co/Xs3Qm1dCRl',,PlanVacunación9100,485,130
Guillermo Lasso,LassoGuillermo,882232,"b'El avance del #PlanVacunaci\xc3\xb3n9100 est\xc3\xa1 en nuestras manos. Ayudemos a nuestros seres queridos a vacunarse, compartam\xe2\x80\xa6 https://t.co/6xXt8BphR2'",,PlanVacunación9100,543,146
Guillermo Lasso,LassoGuillermo,882232,b'@Juanky_Grijalva Con el mejor de los \xc3\xa1nimos y optimismo lo logramos. Saludos. \xf0\x9f\x87\xaa\xf0\x9f\x87\xa8\xf0\x9f\x92\xaa',Juanky_Grijalva,,4,0
Guillermo Lasso,LassoGuillermo,882232,b'@DannyHuacon1 \xf0\x9f\x87\xaa\xf0\x9f\x87\xa8\xf0\x9f\x92\xaa\xf0\x9f\x87\xaa\xf0\x9f\x87\xa8\xf0\x9f\x92\xaa',DannyHuacon1,,1,0
Guillermo Lasso,LassoGuillermo,882232,"b'@Neggan11 Muchas gracias por tu mensaje, lo aprecio mucho. Seguiremos trabajando para lograr la reactivaci\xc3\xb3n del pa\xc3\xads. Saludos. \xf0\x9f\x87\xaa\xf0\x9f\x87\xa8\xf0\x9f\x92\xaa'",Neggan11,,18,3
Guillermo Lasso,LassoGuillermo,882232,b'@Zuleika83689998 \xf0\x9f\x92\xaa\xf0\x9f\x87\xaa\xf0\x9f\x87\xa8\xf0\x9f\x92\xaa\xf0\x9f\x87\xaa\xf0\x9f\x87\xa8',Zuleika83689998,,3,0
Guillermo Lasso,LassoGuillermo,882232,"b'@darioch65 Gracias por tu mensaje, lo aprecio mucho. Seguiremos uniendo esfuerzos para llevar a cabo el\xe2\x80\xa6 https://t.co/pwWvIHEWgC'",darioch65,,13,1
Guillermo Lasso,LassoGuillermo,882232,"b'@juanvpolitico Gracias por tu mensaje, lo aprecio mucho. Seguiremos trabajando por la salud y la reactivaci\xc3\xb3n del p\xe2\x80\xa6 https://t.co/9Fap9yyl9a'",juanvpolitico,,4,1
Guillermo Lasso,LassoGuillermo,882232,"b'@Galoenrique68 Gracias por compartir tu mensaje, me emociona mucho escucharte. Sigamos incentivando el proceso del #PlanVacunacion9100 \xf0\x9f\x92\xaa\xf0\x9f\x87\xaa\xf0\x9f\x87\xa8\xf0\x9f\x91\x8f'",Galoenrique68,PlanVacunacion9100,7,0
